haarf_requirement_id,source_framework,match_type,rationale,coder_id
C1.1.1,FDA,PM,PM match for C1.1.1 against FDA,coder_1
C1.1.2,FDA,EM,EM match for C1.1.2 against FDA,coder_1
C1.1.3,FDA,PM,PM match for C1.1.3 against FDA,coder_1
C1.1.4,FDA,NM,NM match for C1.1.4 against FDA,coder_1
C1.1.5,FDA,NM,NM match for C1.1.5 against FDA,coder_1
C1.2.1,FDA,PM,PM match for C1.2.1 against FDA,coder_1
C1.2.2,FDA,EM,EM match for C1.2.2 against FDA,coder_1
C1.2.3,FDA,EM,EM match for C1.2.3 against FDA,coder_1
C1.2.4,FDA,EM,EM match for C1.2.4 against FDA,coder_1
C1.2.5,FDA,EM,EM match for C1.2.5 against FDA,coder_1
C1.3.1,FDA,NM,NM match for C1.3.1 against FDA,coder_1
C1.3.2,FDA,PM,PM match for C1.3.2 against FDA,coder_1
C1.3.3,FDA,NM,NM match for C1.3.3 against FDA,coder_1
C1.3.4,FDA,PM,PM match for C1.3.4 against FDA,coder_1
C1.3.5,FDA,EM,EM match for C1.3.5 against FDA,coder_1
C1.4.1,FDA,PM,PM match for C1.4.1 against FDA,coder_1
C1.4.2,FDA,PM,PM match for C1.4.2 against FDA,coder_1
C1.4.3,FDA,PM,PM match for C1.4.3 against FDA,coder_1
C1.4.4,FDA,PM,PM match for C1.4.4 against FDA,coder_1
C1.4.5,FDA,PM,PM match for C1.4.5 against FDA,coder_1
C1.5.1,FDA,EM,EM match for C1.5.1 against FDA,coder_1
C1.5.2,FDA,PM,PM match for C1.5.2 against FDA,coder_1
C1.5.3,FDA,EM,EM match for C1.5.3 against FDA,coder_1
C1.5.4,FDA,EM,EM match for C1.5.4 against FDA,coder_1
C1.5.5,FDA,EM,EM match for C1.5.5 against FDA,coder_1
C1.6.1,FDA,PM,PM match for C1.6.1 against FDA,coder_1
C1.6.2,FDA,PM,PM match for C1.6.2 against FDA,coder_1
C1.6.3,FDA,NM,NM match for C1.6.3 against FDA,coder_1
