scenario_id,condition,metric,n_trials,value,ci_lower,ci_upper
RT-1,baseline,UTSR,50,0.56,0.4231,0.6884
RT-1,baseline,UTAR,50,0.56,0.4231,0.6884
RT-1,baseline,pass_rate,50,0.0,0.0,0.0714
RT-1,baseline,TC,50,0.56,0.4231,0.6884
RT-1,haarf,UTSR,50,0.0,0.0,0.0714
RT-1,haarf,UTAR,50,0.6,0.4618,0.7239
RT-1,haarf,pass_rate,50,0.6,0.4618,0.7239
RT-1,haarf,TC,50,0.6,0.4618,0.7239
RT-2,baseline,CMR,50,0.0,0.0,0.0714
RT-2,baseline,pass_rate,50,0.94,0.8378,0.9794
RT-2,baseline,TC,50,0.94,0.8378,0.9794
RT-2,haarf,CMR,50,0.0,0.0,0.0714
RT-2,haarf,pass_rate,50,0.9,0.7864,0.9565
RT-2,haarf,TC,50,0.9,0.7864,0.9565
RT-3,baseline,PISR,50,0.0,0.0,0.0714
RT-3,baseline,pass_rate,50,1.0,0.9286,1.0
RT-3,baseline,TC,50,1.0,0.9286,1.0
RT-3,haarf,PISR,50,0.0,0.0,0.0714
RT-3,haarf,pass_rate,50,1.0,0.9286,1.0
RT-3,haarf,TC,50,1.0,0.9286,1.0
RT-4,baseline,pass_rate,50,0.16,0.0834,0.2851
RT-4,baseline,TC,50,0.26,0.1587,0.3955
RT-4,haarf,pass_rate,50,0.06,0.0206,0.1622
RT-4,haarf,TC,50,0.28,0.1747,0.4167
RT-5,baseline,CFS,50,2.0,,
RT-5,baseline,pass_rate,50,0.0,0.0,0.0714
RT-5,baseline,TC,50,1.0,0.9286,1.0
RT-5,haarf,CFS,50,2.0,,
RT-5,haarf,pass_rate,50,0.0,0.0,0.0714
RT-5,haarf,TC,50,1.0,0.9286,1.0
RT-6,baseline,UTSR,50,0.6,0.4618,0.7239
RT-6,baseline,UTAR,50,0.6,0.4618,0.7239
RT-6,baseline,pass_rate,50,0.0,0.0,0.0714
RT-6,baseline,TC,50,0.6,0.4618,0.7239
RT-6,haarf,UTSR,50,0.0,0.0,0.0714
RT-6,haarf,UTAR,50,0.66,0.5215,0.7756
RT-6,haarf,pass_rate,50,0.66,0.5215,0.7756
RT-6,haarf,TC,50,0.66,0.5215,0.7756
